timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710712275145,72,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/70cc6942-ce6e-481c-9e84-4cb8fd1348fb.json-104,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/70cc6942-ce6e-481c-9e84-4cb8fd1348fb.json?id=70cc6942-ce6e-481c-9e84-4cb8fd1348fb,72,0,0
1710712275219,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc.json-105,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc.json?id=96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc,50,0,0
1710712275271,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/48f64df2-b7fb-4aad-9fa8-e7c999e69297.json-108,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/48f64df2-b7fb-4aad-9fa8-e7c999e69297.json?id=48f64df2-b7fb-4aad-9fa8-e7c999e69297,49,0,0
1710712275321,51,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0a60a8c1-df2f-4f86-b566-4e82be8f1192.json-106,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0a60a8c1-df2f-4f86-b566-4e82be8f1192.json?id=0a60a8c1-df2f-4f86-b566-4e82be8f1192,51,0,0
1710712275373,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0b895e1e-c62e-4d69-b0e4-7b4c88e5c3e8.json-107,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0b895e1e-c62e-4d69-b0e4-7b4c88e5c3e8.json?id=0b895e1e-c62e-4d69-b0e4-7b4c88e5c3e8,49,0,0
1710712275422,51,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d46862ef-da3a-4135-827b-d0bf227178a2.json-109,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d46862ef-da3a-4135-827b-d0bf227178a2.json?id=d46862ef-da3a-4135-827b-d0bf227178a2,51,0,0
1710712275474,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json-110,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json?id=8c98cfa1-139b-4e19-92b4-187f441a66b9,49,0,0
1710712275523,0,Debug Sampler,200,OK,ThreadSafeAI 1-4,text,true,,283,0,1,1,null,0,0,0
1710712275673,166,/login/-89,200,OK,ThreadSafeAI 1-5,text,true,,3171,467,1,1,https://chatgptgw-super-admin.web.app/login/,166,0,116
1710712275840,48,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json-98,200,OK,ThreadSafeAI 1-5,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json?id=2b3d8b74-e48a-4730-bb3a-eac7ae07d50f,48,0,0
1710712275889,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json-99,200,OK,ThreadSafeAI 1-5,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json?id=9c16999e-3a08-41a4-a62c-fed4994f9355,50,0,0
1710712275940,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json-100,200,OK,ThreadSafeAI 1-5,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json?id=75c9f001-3696-4462-8f7c-956c4cec3f8d,50,0,0
1710712275991,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json-102,200,OK,ThreadSafeAI 1-5,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json?id=d64eab39-4186-45a2-b438-963bfbfbfce1,50,0,0
1710712276042,70,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json-101,200,OK,ThreadSafeAI 1-5,text,true,,1403,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json?id=0e268280-f639-4859-b0b3-b8404fe38deb,70,0,0
